,unit_key,อำเภอ,ตำบล,หน่วย,รายการ,คะแนน
67,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_1,อำเภอบ้านด่าน,ตำบลปราสาท,1,ไม่เห็นชอบ,91
68,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_1,อำเภอบ้านด่าน,ตำบลปราสาท,1,ไม่แสดงความคิดเห็น,27
69,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_3,อำเภอบ้านด่าน,ตำบลปราสาท,2,เห็นชอบ,184
70,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_3,อำเภอบ้านด่าน,ตำบลปราสาท,2,ไม่เห็นชอบ,134
71,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_3,อำเภอบ้านด่าน,ตำบลปราสาท,2,ไม่แสดงความคิดเห็น,37
72,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_5,อำเภอบ้านด่าน,ตำบลปราสาท,3,เห็นชอบ,134
73,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_5,อำเภอบ้านด่าน,ตำบลปราสาท,3,ไม่เห็นชอบ,68
74,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_5,อำเภอบ้านด่าน,ตำบลปราสาท,3,ไม่แสดงความคิดเห็น,21
75,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_7,อำเภอบ้านด่าน,ตำบลปราสาท,4,เห็นชอบ,174
76,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_7,อำเภอบ้านด่าน,ตำบลปราสาท,4,ไม่เห็นชอบ,78
77,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_7,อำเภอบ้านด่าน,ตำบลปราสาท,4,ไม่แสดงความคิดเห็น,36
78,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_9,อำเภอบ้านด่าน,ตำบลปราสาท,5,เห็นชอบ,49
79,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_9,อำเภอบ้านด่าน,ตำบลปราสาท,5,ไม่เห็นชอบ,65
80,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_9,อำเภอบ้านด่าน,ตำบลปราสาท,5,ไม่แสดงความคิดเห็น,11
81,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_11,อำเภอบ้านด่าน,ตำบลปราสาท,6,เห็นชอบ,55
82,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_11,อำเภอบ้านด่าน,ตำบลปราสาท,6,ไม่เห็นชอบ,68
83,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_11,อำเภอบ้านด่าน,ตำบลปราสาท,6,ไม่แสดงความคิดเห็น,13
84,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_13,อำเภอบ้านด่าน,ตำบลปราสาท,7,เห็นชอบ,111
85,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_13,อำเภอบ้านด่าน,ตำบลปราสาท,7,ไม่เห็นชอบ,59
86,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_13,อำเภอบ้านด่าน,ตำบลปราสาท,7,ไม่แสดงความคิดเห็น,45
87,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_15,อำเภอบ้านด่าน,ตำบลปราสาท,8,เห็นชอบ,157
